Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-3835.589	0.0	-3835.589	-3835.589	100.0	0.04763215	0.25367427	0.8148974	-0.6092573	100	-0.16485785	141602.11	0.0	-676.2031	0.91893876	-1.1920929e-08	0.6813645362854004
10	-889.2599	456.16898	-321.4552	-1875.6163	30.578947	-5.3025312	3.3722932	0.39633465	-11.114999	1100	-0.16613577	54084.508	0.0	-460.14413	0.917469	4.768371e-10	7.789673805236816
20	-1188.2805	815.28107	-320.11435	-2772.2493	41.36842	-15.527942	2.7512257	-5.846675	-20.18729	2100	-0.15784076	50794.203	0.0	-418.059	0.91484576	3.5762784e-09	14.86890172958374
30	-1114.2444	783.8953	-225.87447	-2837.3994	39.15	-24.318407	2.5971777	-19.658907	-29.070997	3100	-0.15582521	50442.05	0.0	-404.59122	0.9123365	4.172327e-10	21.79642415046692
40	-738.7889	476.46255	-196.98137	-2148.5957	25.608696	-32.58129	2.316808	-28.41304	-37.214355	4100	-0.11815961	37468.9	0.0	-263.43594	0.9100739	-5.602837e-09	28.697162628173828
50	-948.8331	677.95026	-212.01857	-2626.1182	35.086956	-40.62078	2.3346376	-35.88657	-45.087677	5100	-0.14398652	33903.43	0.0	-309.67773	0.9080863	1.6093257e-09	35.99450492858887
60	-1189.6831	991.6757	-200.92082	-3271.6975	41.0	-49.084415	2.7590294	-44.054207	-54.20236	6100	-0.22065187	44320.082	0.0	-258.58008	0.90599203	-1.6689297e-09	43.3607177734375
70	-1023.44366	760.5582	-215.29956	-2834.4277	37.11111	-57.621822	2.3036296	-53.109875	-61.737595	7100	-0.18134765	32416.84	0.0	-239.73848	0.9034233	-1.7881397e-09	50.32342076301575
80	-801.2855	685.07574	-287.16547	-3174.2224	28.04	-65.33787	2.2264879	-61.26181	-69.30828	8100	-0.09294523	26564.52	0.0	-224.15878	0.90111655	-2.4437905e-09	57.56743812561035
90	-847.1253	505.86273	-240.79013	-1979.3744	31.208334	-72.62655	2.2530239	-68.35702	-77.05618	9100	-0.15724817	24667.09	0.0	-227.00215	0.89915943	4.7683735e-10	64.82543706893921
100	-724.10315	645.8904	-241.11685	-2889.3384	26.26923	-80.23773	2.2165701	-76.154396	-84.88004	10100	-0.15711942	24524.648	0.0	-160.04776	0.89704055	-3.755093e-09	71.85859704017639
110	-686.79297	490.96	-190.40073	-2538.0127	25.733334	-87.98008	1.8843061	-84.22444	-92.10915	11100	-0.18864365	17463.572	0.0	-160.08476	0.8948313	-1.4901161e-09	78.89347767829895
120	-855.20825	519.89606	-169.19244	-2273.374	29.857143	-95.538216	2.452824	-91.09554	-100.26707	12100	-0.13041148	22520.965	0.0	-267.40753	0.892385	4.2319295e-09	85.92452788352966
130	-1173.2377	997.86975	-227.9203	-3221.1948	41.714287	-103.70717	2.5149336	-99.17915	-108.80145	13100	-0.16149017	22795.662	0.0	-224.4498	0.8901483	2.2649767e-09	92.94897603988647
140	-912.0237	645.94305	-251.94366	-2938.6523	33.173912	-112.25837	2.1783774	-108.04364	-116.542175	14100	-0.11155641	16842.809	0.0	-126.62036	0.88804567	1.1920931e-09	99.78470873832703
150	-748.04736	591.3062	-276.96317	-2495.4153	27.931034	-118.67504	1.7528551	-114.77495	-122.165665	15100	-0.18800384	13873.463	0.0	-91.291214	0.8860695	-3.0398368e-09	107.02137398719788
160	-751.3939	575.2684	-241.93362	-2508.9001	26.32	-125.89326	2.0997615	-108.485275	-129.96443	16100	-0.13885376	18546.22	0.0	-164.87422	0.88386595	3.0398364e-09	114.34142708778381
170	-726.9481	603.4064	-159.28407	-2454.3242	26.241379	-133.23949	1.9625988	-129.33765	-137.08578	17100	-0.1781917	12807.178	0.0	-57.627735	0.881667	-4.0531156e-09	121.36427783966064
180	-789.72705	703.3471	-224.85327	-3404.818	28.11111	-140.125	2.2610512	-135.72116	-144.06946	18100	-0.12827332	14845.314	0.0	-143.94453	0.8792938	4.589558e-09	128.49242901802063
190	-603.35394	392.24097	-183.85266	-1660.1467	21.172413	-144.74716	8.8798685	36.653885	-149.53421	19100	-0.15342031	10968.322	0.0	-135.04208	0.8770877	-1.7881385e-10	135.8491542339325
200	-1054.5157	867.7955	-212.13036	-3219.2554	38.0	-152.90465	2.281851	-148.4344	-157.23695	20100	-0.18438178	14104.406	0.0	-164.60092	0.8748024	1.9073487e-09	142.53058171272278
210	-818.1359	633.21643	-180.2244	-2929.3198	28.964285	-160.31502	1.8386302	-157.0562	-164.19067	21100	-0.12287824	11212.048	0.0	-81.740135	0.87236726	-1.2516976e-09	149.99882864952087
220	-575.09314	307.94397	-172.75114	-1401.5585	21.142857	-164.41994	0.7111928	-162.94669	-166.6828	22100	-0.16012165	8456.593	0.0	-29.954737	0.87028426	5.3644206e-10	157.04639506340027
230	-507.18066	286.98782	-174.83427	-1189.0562	18.588236	-169.0466	2.0989318	-165.55194	-172.90834	23100	-0.119911514	13806.12	0.0	-123.46236	0.8681925	4.4703485e-09	164.1318461894989
240	-631.0711	528.8636	-215.22293	-3118.11	23.48276	-173.55711	1.2257509	-170.72928	-175.65607	24100	-0.150561	9964.9	0.0	-46.14741	0.86615574	-2.0265578e-09	171.40938472747803
250	-603.87164	558.82666	-210.0717	-3090.3337	21.113636	-152.86981	63.846935	121.7549	-178.41008	25100	-0.09252844	21036.38	0.0	-9477.419	0.8641863	1.013279e-09	178.7212963104248
260	-797.8248	821.0863	-165.05666	-3036.2021	29.653847	-171.97615	5.108501	-154.59662	-179.68443	26100	-0.1910345	9024.271	0.0	-235.1204	0.86235493	2.1457673e-09	185.92098259925842
270	-600.0228	596.127	-158.80997	-3225.0168	21.8	-180.47255	1.4337971	-174.3847	-184.16747	27100	-0.1498482	10307.628	0.0	-95.0898	0.8601672	-4.7683707e-10	193.41469621658325
280	-720.8368	525.8671	-156.88222	-2541.8638	28.3	-182.15005	0.94778204	-177.9128	-184.29787	28100	-0.15220062	7948.6196	0.0	-21.92622	0.85789233	3.2782559e-09	200.93414783477783
290	-464.15897	247.26509	-195.53947	-1301.0288	16.934782	-179.36191	2.2582116	-170.76465	-183.34549	29100	-0.110404	8062.5537	0.0	-39.532616	0.8557247	-2.9206275e-09	210.10922765731812
300	-695.1647	658.493	-189.87572	-2877.1318	25.68	-182.17152	3.130786	-172.14487	-186.36424	30100	-0.18799439	10678.254	0.0	-121.86753	0.8536333	3.814697e-09	219.09437036514282
310	-680.31635	664.9967	-223.5065	-2983.5005	25.878788	-185.34511	1.4124106	-182.15565	-188.30606	31100	-0.15130828	8697.146	0.0	-88.479935	0.8513163	1.7881403e-10	228.05019855499268
320	-880.3162	806.3601	-242.3923	-2904.7388	33.76	-185.96642	0.83014446	-181.79865	-188.05254	32100	-0.18529902	9335.964	0.0	-72.367966	0.8490033	3.2186507e-09	237.01159405708313
330	-633.1114	506.1316	-252.26462	-2999.2717	23.0	-187.87982	0.56035566	-185.92293	-189.58974	33100	-0.14594965	9006.186	0.0	-35.64868	0.84644794	2.682209e-09	245.89912176132202
340	-499.33847	211.5616	-210.72849	-1128.2684	18.5	-185.17548	2.4216797	-167.75935	-188.90404	34100	-0.13097608	8535.481	0.0	-77.643555	0.84410536	-1.013279e-09	254.877423286438
350	-511.02115	359.88934	-203.55602	-1821.0293	19.461538	-184.41212	1.420836	-180.41245	-186.79532	35100	-0.20082292	9140.369	0.0	-83.21499	0.84192723	-8.344651e-10	263.8701362609863
360	-576.3484	468.91568	-206.36183	-2310.5442	21.2	-185.1021	0.76229995	-182.88522	-186.91971	36100	-0.1502345	8213.877	0.0	-59.457664	0.8393828	-1.251698e-09	272.3359913825989
370	-484.04022	262.64618	-188.88823	-1230.4941	17.818182	-183.80263	0.80978113	-181.05478	-185.50284	37100	-0.09204088	8247.9375	0.0	-81.160545	0.8371199	1.3113022e-09	281.28786873817444
380	-507.81116	305.77936	-145.4822	-1525.665	19.552631	-166.77861	43.357727	116.63257	-184.7145	38100	-0.18621351	8071.9937	0.0	-1113.722	0.83515215	-3.4570693e-09	290.2670986652374
390	-519.3974	372.11798	-179.92766	-2356.435	19.488373	-176.50496	14.1097765	-44.530155	-182.92183	39100	-0.1765913	8948.377	0.0	-508.2272	0.8328236	3.1590464e-09	298.9345922470093
400	-516.4225	348.26395	-211.16682	-1866.3783	19.513514	-163.80113	39.691414	73.88683	-179.13397	40100	-0.13375482	9623.236	0.0	-2300.1575	0.8304928	1.7881392e-09	307.89157485961914
410	-455.13467	261.2161	-146.5548	-1584.7845	17.525	-149.23393	51.473522	88.23015	-179.5775	41100	-0.097650036	9925.892	0.0	-3184.4976	0.828417	2.145767e-09	316.98737621307373
