Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-5318.198	0.0	-5318.198	-5318.198	100.0	-0.338477	0.033630706	-0.18004093	-0.4590779	100	0.0028139781	273476.7	0.0	-1528.4375	0.91893876	8.34465e-09	0.41538310050964355
2	-5820.3438	352.49316	-5467.8506	-6172.837	100.0	-2.3629782	1.0432363	0.91597354	-3.3808808	300	-0.10044891	324919.53	0.0	-1489.5312	0.91891646	-4.7683715e-09	1.3792083263397217
4	-3401.122	3002.5542	-398.568	-6403.6763	58.5	-4.9680233	0.82823014	-0.1363402	-5.89147	500	-0.19262588	299253.28	0.0	-1136.6406	0.9186609	1.66893e-08	2.326205015182495
6	-5396.8613	403.53833	-4993.323	-5800.4	100.0	-7.1272945	0.47250503	-5.526024	-7.603918	700	-0.031428937	298784.3	0.0	-961.7656	0.91824865	-5.662441e-09	3.3027005195617676
8	-1851.0299	2111.3047	-304.1551	-4836.2075	42.666668	-8.799125	1.0034835	0.5062277	-9.465281	900	-0.009099234	208158.62	0.0	-711.3906	0.91790974	4.4703485e-09	4.382155418395996
10	-2849.5679	2133.667	-715.901	-4983.235	64.0	-9.594986	3.1957989	5.2080383	-11.074816	1100	-0.09647416	213465.19	0.0	-1051.3047	0.9176178	-4.172325e-09	5.2720232009887695
12	-4689.3525	798.8362	-3890.516	-5488.1885	100.0	-12.110657	0.5236881	-9.748454	-12.54727	1300	-0.027004588	210262.73	0.0	-749.125	0.91729325	-5.662441e-09	6.230901479721069
14	-2787.8462	1621.6367	-1166.2096	-4409.483	70.5	-13.842274	0.37138027	-12.807854	-14.223902	1500	-0.019989433	160776.53	0.0	-550.875	0.9170145	-2.9802338e-10	7.155336618423462
16	-1761.8577	1154.5454	-607.31226	-2916.403	60.0	-14.896095	1.2118325	-6.4766226	-15.668999	1700	-0.11518371	85145.5	0.0	-515.33203	0.9167878	3.5762788e-09	8.097758054733276
18	-5371.21	8.213867	-5362.996	-5379.424	100.0	-16.708336	0.5020972	-16.176647	-17.213669	1900	-0.026429255	269520.3	0.0	-989.09375	0.9165375	8.642673e-09	9.077751159667969
20	-2701.8633	2300.2456	-343.8253	-5821.6133	63.0	-18.458027	0.25064203	-18.09313	-18.710007	2100	-0.036814995	175423.42	0.0	-643.43945	0.91629434	-1.3113022e-08	10.014809370040894
22	-4819.024	653.4326	-4165.5913	-5472.4565	100.0	-20.271511	0.51270556	-19.715162	-20.806694	2300	-0.12134971	207431.19	0.0	-800.65625	0.9160583	7.450581e-09	10.914336204528809
24	-496.69897	112.02873	-338.62082	-584.9103	17.0	-21.893993	0.30719808	-21.435205	-22.206585	2500	-0.11481771	125655.53	0.0	-415.07422	0.9157822	4.7683715e-09	11.782730340957642
26	-4421.9766	1104.0929	-3317.8835	-5526.0693	100.0	-23.45211	0.51746404	-22.917221	-23.975332	2700	-0.11777456	177427.16	0.0	-698.6289	0.9154763	-3.5762788e-09	12.636913061141968
28	-4223.1313	1261.4655	-2961.6658	-5484.5967	100.0	-24.900793	0.27167746	-24.615364	-25.174053	2900	-0.114102975	171786.86	0.0	-640.4746	0.9151263	4.7683715e-09	13.584366798400879
30	-5820.514	276.63818	-5543.876	-6097.1523	100.0	-26.794086	0.5829758	-26.194231	-27.378094	3100	-0.009739027	294074.9	0.0	-1144.4688	0.9147656	-5.3644182e-09	14.485822200775146
32	-3273.5356	2041.044	-1232.4918	-5314.5796	71.5	-28.79174	0.37157384	-28.39131	-29.164923	3300	0.012847617	194751.22	0.0	-694.89844	0.9144722	-5.9604677e-10	15.39096474647522
34	-2886.4844	2438.362	-448.1223	-5324.8467	57.0	-30.6084	0.49164104	-30.037859	-31.102386	3500	-0.030093227	199791.03	0.0	-722.72656	0.91423905	-1.0728836e-08	16.283557415008545
36	-5876.058	488.2456	-5387.8125	-6364.3037	100.0	-32.34408	0.48401934	-31.837698	-32.828606	3700	-0.0035906937	296936.2	0.0	-1085.9375	0.9140148	2.3841857e-09	17.182810306549072
38	-1798.3804	1839.9088	-562.3365	-4970.8037	45.0	-34.401543	0.4493793	-33.932682	-34.856617	3900	-0.12169703	117241.39	0.0	-442.13867	0.913807	-5.662441e-09	18.10551929473877
40	-4081.5366	1003.0741	-3078.4626	-5084.611	100.0	-35.64248	0.42154297	-35.207634	-36.07344	4100	-0.1343841	137931.25	0.0	-515.7461	0.91355634	-1.192093e-09	19.077263355255127
42	-2078.791	1563.4406	-515.35046	-3642.2317	58.0	-36.947853	0.3297973	-36.440315	-37.278786	4300	-0.13335642	123668.56	0.0	-455.14453	0.91323894	-3.5762786e-09	20.014636039733887
44	-3910.918	1473.7582	-2437.16	-5384.6763	90.0	-38.52126	0.49473047	-38.014843	-39.03097	4500	-0.10108681	156039.48	0.0	-590.7363	0.9128828	8.046627e-09	20.945781230926514
46	-770.25507	269.99222	-500.26285	-1040.2473	24.5	-39.97907	0.40578595	-39.565857	-40.38861	4700	-0.1424214	124440.34	0.0	-440.83984	0.912534	1.1026859e-08	21.91702961921692
48	-3104.4548	2863.0212	-241.43375	-5967.476	54.0	-41.335087	0.38139242	-40.944485	-41.716766	4900	-0.06398783	214124.02	0.0	-845.1719	0.9121524	2.9802316e-10	22.766864776611328
50	-1737.584	868.7618	-868.8222	-2606.3457	67.0	-43.11042	0.2608226	-42.83767	-43.374767	5100	-0.07234818	51960.797	0.0	-220.85938	0.91177285	-3.2782554e-09	23.55502939224243
52	-3774.2344	965.7892	-2808.445	-4740.0234	100.0	-44.16328	0.26201832	-43.89348	-44.4256	5300	-0.18483207	106581.6	0.0	-462.07422	0.91140413	-2.9802325e-09	24.43510150909424
54	-5805.641	280.8872	-5524.754	-6086.5283	100.0	-45.930023	0.60388815	-45.32128	-46.534164	5500	0.04110343	273019.97	0.0	-1150.4375	0.91102064	8.046627e-09	25.302846908569336
56	-2929.8206	2388.937	-540.8835	-5318.758	59.0	-48.14927	0.5129854	-47.630302	-48.66356	5700	-0.019724438	158759.67	0.0	-625.4414	0.9107315	-2.9802294e-10	26.22331428527832
58	-3957.1135	1182.113	-2775.0005	-5139.2266	100.0	-49.544247	0.24661423	-49.29365	-49.79135	5900	-0.13500442	133908.94	0.0	-520.3125	0.9104713	5.662441e-09	27.102808952331543
60	-1570.7444	1268.4896	-302.25476	-2839.2341	56.5	-51.015953	0.27141693	-50.59787	-51.2879	6100	-0.25483087	46998.24	0.0	-206.7832	0.91016054	5.9604655e-10	28.037070512771606
62	-4688.0005	435.26416	-4252.7363	-5123.2646	100.0	-52.272873	0.49340704	-51.776375	-52.766495	6300	-0.053657737	172272.62	0.0	-719.875	0.9097581	-6.5565113e-09	28.939704656600952
64	-923.6494	223.7518	-699.89764	-1147.4012	35.5	-53.988956	0.359594	-53.625507	-54.35057	6500	-0.122915864	74515.06	0.0	-299.51172	0.90938133	2.0861628e-09	29.864582777023315
66	-4252.5425	1271.7167	-2980.826	-5524.2593	100.0	-55.389194	0.54153115	-54.843258	-55.932175	6700	-0.14360629	148247.4	0.0	-637.21875	0.9090051	1.66893e-08	30.76426100730896
68	-2057.3474	1522.8433	-534.5042	-3580.1907	61.0	-56.77984	0.23368518	-56.53764	-57.01402	6900	-0.07515623	64964.97	0.0	-277.37305	0.90859145	1.3113022e-08	31.69891667366028
70	-3526.4277	246.18323	-3280.2446	-3772.611	100.0	-58.04334	0.3278404	-57.713573	-58.371456	7100	-0.09289993	80685.55	0.0	-381.10547	0.9081923	8.34465e-09	32.6237587928772
72	-3958.8213	751.7363	-3207.085	-4710.5576	100.0	-59.644352	0.50435394	-59.137726	-60.15017	7300	-0.10695998	120597.89	0.0	-548.3008	0.9078225	5.960464e-09	33.553141832351685
